[15687199, 369121]
Loading pretrained model:models/backbones/pretrained/3x3resnet50-imagenet.pth


Nbr of trainable parameters: 50246080

Epoch 1 completed | Ls 0.1666 Lu 0.0065 Lw 0.0020 PW 0.0000 IoU_l 0.1350 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1659 Lu 0.0065 Lw 0.0020 PW 0.0000 IoU_l 0.1360 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1651 Lu 0.0065 Lw 0.0020 PW 0.0000 IoU_l 0.1370 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1644 Lu 0.0066 Lw 0.0020 PW 0.0000 IoU_l 0.1380 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1637 Lu 0.0066 Lw 0.0020 PW 0.0000 IoU_l 0.1380 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1631 Lu 0.0066 Lw 0.0020 PW 0.0000 IoU_l 0.1390 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1624 Lu 0.0066 Lw 0.0020 PW 0.0000 IoU_l 0.1390 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1618 Lu 0.0066 Lw 0.0020 PW 0.0000 IoU_l 0.1400 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1611 Lu 0.0066 Lw 0.0020 PW 0.0000 IoU_l 0.1410 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1604 Lu 0.0066 Lw 0.0020 PW 0.0000 IoU_l 0.1410 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1597 Lu 0.0066 Lw 0.0020 PW 0.0000 IoU_l 0.1420 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1590 Lu 0.0066 Lw 0.0020 PW 0.0000 IoU_l 0.1430 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1584 Lu 0.0066 Lw 0.0020 PW 0.0000 IoU_l 0.1430 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1578 Lu 0.0066 Lw 0.0020 PW 0.0000 IoU_l 0.1440 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1572 Lu 0.0066 Lw 0.0020 PW 0.0000 IoU_l 0.1450 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1566 Lu 0.0066 Lw 0.0020 PW 0.0000 IoU_l 0.1450 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1560 Lu 0.0066 Lw 0.0020 PW 0.0000 IoU_l 0.1460 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1554 Lu 0.0066 Lw 0.0020 PW 0.0000 IoU_l 0.1460 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1547 Lu 0.0066 Lw 0.0020 PW 0.0000 IoU_l 0.1470 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1541 Lu 0.0066 Lw 0.0020 PW 0.0000 IoU_l 0.1480 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1535 Lu 0.0067 Lw 0.0020 PW 0.0000 IoU_l 0.1490 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1529 Lu 0.0067 Lw 0.0020 PW 0.0000 IoU_l 0.1490 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1524 Lu 0.0067 Lw 0.0020 PW 0.0000 IoU_l 0.1500 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1518 Lu 0.0067 Lw 0.0020 PW 0.0000 IoU_l 0.1500 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1513 Lu 0.0067 Lw 0.0020 PW 0.0000 IoU_l 0.1510 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1507 Lu 0.0067 Lw 0.0020 PW 0.0000 IoU_l 0.1510 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1500 Lu 0.0067 Lw 0.0020 PW 0.0000 IoU_l 0.1520 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1495 Lu 0.0067 Lw 0.0020 PW 0.0000 IoU_l 0.1530 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1490 Lu 0.0067 Lw 0.0020 PW 0.0000 IoU_l 0.1530 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1484 Lu 0.0067 Lw 0.0020 PW 0.0000 IoU_l 0.1540 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1479 Lu 0.0067 Lw 0.0020 PW 0.0000 IoU_l 0.1540 IoU_ul 0.0000
